truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
pooled_balanced,0.2,7,650,2000,4199018033,2000,0,0.49964014900100473,0.45751411023096733,0.5418484990659552,322.0,0.49538461538461537,0.687,False,,False
pooled_balanced,0.2,9,650,2000,3333136776,2000,0,0.49985797964998263,0.45711065088757397,0.5438688310335804,323.0,0.4969230769230769,0.689,False,,False
pooled_balanced,0.2,15,650,2000,4262235678,2000,0,0.49974437349933043,0.4558221558380923,0.5412428500224308,324.0,0.49846153846153846,0.701,False,,False
pooled_balanced,0.25,3,650,2000,1869513852,2000,0,0.5002605176229243,0.46203008234085147,0.5373910461630725,319.0,0.4907692307692308,0.678,False,,False
pooled_balanced,0.25,5,650,2000,2103056553,2000,0,0.5003598485034357,0.460184592208996,0.5388233561344661,320.0,0.49230769230769234,0.684,False,,False
pooled_balanced,0.25,7,650,2000,1181316106,2000,0,0.5008142163319347,0.45794357833721766,0.5403964825023153,321.0,0.4938461538461538,0.688,False,,False
pooled_balanced,0.25,9,650,2000,3224323944,2000,0,0.4993869300106044,0.45797299165471356,0.5425493443977005,321.0,0.4938461538461538,0.694,False,,False
pooled_balanced,0.25,15,650,2000,1342671041,2000,0,0.4996472941321499,0.45928188996506375,0.544283922684837,323.0,0.4969230769230769,0.706,False,,False
pooled_balanced,0.3,3,650,2000,1024895288,2000,0,0.499158868065164,0.46393572676667655,0.5363659802937207,318.0,0.48923076923076925,0.676,False,,False
pooled_balanced,0.3,5,650,2000,208469764,2000,0,0.4996871679910002,0.4613078085937973,0.5391553210753451,319.0,0.4907692307692308,0.685,False,,False
pooled_balanced,0.3,7,650,2000,350614934,2000,0,0.49943898694018163,0.45875922104065486,0.5395627666900721,319.0,0.4907692307692308,0.692,False,,False
pooled_balanced,0.3,9,650,2000,3916840653,2000,0,0.5000733809387659,0.4561992533850933,0.5404460548186948,320.0,0.49230769230769234,0.696,False,,False
pooled_balanced,0.3,15,650,2000,768735977,2000,0,0.500222527992944,0.45717026984260883,0.5436298306619018,321.0,0.4938461538461538,0.712,False,,False
pooled_balanced,0.35,3,650,2000,751752620,2000,0,0.49988611333712885,0.46631550107997083,0.5344728967315008,317.0,0.4876923076923077,0.676,False,,False
pooled_balanced,0.35,5,650,2000,1500417882,2000,0,0.4999549518950167,0.46111920489172453,0.537524391224091,318.0,0.48923076923076925,0.688,False,,False
pooled_balanced,0.35,7,650,2000,1683073315,2000,0,0.49994314640528503,0.45952197620103763,0.53999325513761,318.0,0.48923076923076925,0.692,False,,False
pooled_balanced,0.35,9,650,2000,2246295690,2000,0,0.5003693444465347,0.4586211208486941,0.5419585724168113,319.0,0.4907692307692308,0.698,False,,False
pooled_balanced,0.35,15,650,2000,3476039721,2000,0,0.49998814324146534,0.456982188612155,0.542425197074206,320.0,0.49230769230769234,0.716,False,,False
pooled_balanced,0.4,3,650,2000,3211377910,2000,0,0.5001775317356725,0.4666994110740797,0.5340242981767571,317.0,0.4876923076923077,0.677,False,,False
pooled_balanced,0.4,5,650,2000,1155820218,2000,0,0.5000881862420946,0.4634238668277635,0.5395344081920983,317.0,0.4876923076923077,0.69,False,,False
